well_id,plate,row,column,flow_says_diploid,flow_haploid_count,flow_diploid_count,flow_ambiguous_count,flow_singlets_count,flow_all_events_count,flow_haploid_percent,flow_diploid_percent,flow_ambiguous_percent
WGS1H8,1,H,8,True,4.0,470.0,2128.0,2602.0,5000.0,0.15372790161414296,18.0630284396618,81.78324365872406
WGS1H9,1,H,9,True,1.0,364.0,2151.0,2516.0,5000.0,0.0397456279809221,14.467408585055644,85.49284578696343
WGS1H11,1,H,11,True,0.0,630.0,2159.0,2789.0,5000.0,0.0,22.588741484403013,77.411258515597
WGS2A1,2,A,1,True,0.0,715.0,1996.0,2711.0,5000.0,0.0,26.374031722611583,73.62596827738842
WGS2B1,2,B,1,True,0.0,538.0,2950.0,3488.0,5000.0,0.0,15.424311926605505,84.57568807339449
WGS2D2,2,D,2,True,2.0,451.0,2044.0,2497.0,5000.0,0.08009611533840609,18.06167400881057,81.85822987585102
WGS2D3,2,D,3,True,0.0,538.0,2130.0,2668.0,5000.0,0.0,20.164917541229386,79.83508245877061
WGS2D4,2,D,4,True,0.0,613.0,2180.0,2793.0,5000.0,0.0,21.947726459004656,78.05227354099534
WGS2D5,2,D,5,False,1126.0,9.0,1662.0,2797.0,5000.0,40.257418662853055,0.32177332856632107,59.420808008580615
WGS2D6,2,D,6,False,1022.0,0.0,1834.0,2856.0,5000.0,35.78431372549019,0.0,64.2156862745098
WGS2D7,2,D,7,False,1003.0,2.0,1842.0,2847.0,5000.0,35.23006673691606,0.07024938531787847,64.69968387776606
WGS2D8,2,D,8,True,28.0,398.0,1917.0,2343.0,5000.0,1.195049082373026,16.986769099445155,81.81818181818183
WGS2D9,2,D,9,True,0.0,777.0,2114.0,2891.0,5000.0,0.0,26.876513317191282,73.12348668280872
WGS2D10,2,D,10,False,927.0,14.0,2186.0,3127.0,5000.0,29.645027182603133,0.4477134633834346,69.90725935401343
WGS2E2,2,E,2,True,4.0,300.0,1974.0,2278.0,5000.0,0.17559262510974538,13.169446883230904,86.65496049165935
WGS2E3,2,E,3,True,2.0,502.0,2166.0,2670.0,5000.0,0.0749063670411985,18.801498127340825,81.12359550561797
WGS2E4,2,E,4,False,1017.0,29.0,2256.0,3302.0,5000.0,30.79951544518474,0.8782556026650515,68.32222895215021
WGS2E5,2,E,5,False,1261.0,2.0,1748.0,3011.0,5000.0,41.879774161408164,0.06642311524410495,58.05380272334772
WGS2E6,2,E,6,False,902.0,4.0,1926.0,2832.0,5000.0,31.85028248587571,0.14124293785310735,68.00847457627118
WGS2E7,2,E,7,True,1.0,501.0,2103.0,2605.0,5000.0,0.038387715930902115,19.232245681381958,80.72936660268714
WGS2E8,2,E,8,False,530.0,11.0,2276.0,2817.0,5000.0,18.81434149804757,0.3904863329783458,80.79517216897408
WGS2E9,2,E,9,False,612.0,7.0,2445.0,3064.0,5000.0,19.973890339425587,0.22845953002610966,79.7976501305483
WGS2E10,2,E,10,False,651.0,7.0,1840.0,2498.0,5000.0,26.060848678943156,0.28022417934347477,73.65892714171338
WGS2F2,2,F,2,False,837.0,9.0,2423.0,3269.0,5000.0,25.60416029366779,0.2753135515448149,74.1205261547874
WGS2H3,2,H,3,True,0.0,410.0,2099.0,2509.0,5000.0,0.0,16.34117178158629,83.6588282184137
WGS2H4,2,H,4,True,0.0,518.0,2074.0,2592.0,5000.0,0.0,19.984567901234566,80.01543209876543
WGS2H6,2,H,6,False,1037.0,3.0,1649.0,2689.0,5000.0,38.56452212718482,0.11156563778356265,61.32391223503161
WGS2H7,2,H,7,False,930.0,1.0,1754.0,2685.0,5000.0,34.63687150837989,0.037243947858472994,65.32588454376163
WGS2H8,2,H,8,False,819.0,5.0,1878.0,2702.0,5000.0,30.310880829015545,0.1850481125092524,69.5040710584752
WGS2H9,2,H,9,True,1.0,630.0,2301.0,2932.0,5000.0,0.034106412005457026,21.487039563437925,78.47885402455663
WGS2H10,2,H,10,False,1052.0,11.0,1900.0,2963.0,5000.0,35.504556193047584,0.37124535943300707,64.1241984475194
WGS2H11,2,H,11,True,0.0,703.0,2022.0,2725.0,5000.0,0.0,25.79816513761468,74.20183486238531
